seed,intensity,kind,N,n_min,valid,abstention_reason,mean_L,std_L,cv_L,iqr_L,range_L,mean_V,std_V,cv_V,iqr_V,range_V,flags
4200015,2400.0,MINK,2369,44,True,,66.36363636363636,2.0790175683689585,0.03132766198912129,3.0,10.0,1568.6363636363637,177.33085294149654,0.11304777643329249,258.0,633.0,NEAR_DELTA_MINK_L
4200016,2400.0,MINK,2468,46,True,,65.69565217391305,1.8866759959780117,0.02871843011746808,3.0,7.0,1614.195652173913,187.9051124515888,0.11640789157034846,290.0,632.0,NEAR_DELTA_MINK_L
4200017,2400.0,MINK,2372,37,True,,64.32432432432432,1.4152462120633562,0.022001726826195035,2.0,6.0,1555.7027027027027,179.80588104275193,0.1155785618488529,299.0,568.0,NEAR_DELTA_MINK_L
4200018,2400.0,MINK,2341,50,True,,63.62,1.9888690253508399,0.031261694834184846,3.0,7.0,1489.4,167.44575240954904,0.11242497140428967,256.5,597.0,NEAR_DELTA_MINK_L
4200019,2400.0,MINK,2399,47,True,,65.72340425531915,3.2004130561842574,0.04869518084838462,3.5,12.0,1543.063829787234,195.022246876663,0.1263863769676681,349.0,697.0,NEAR_DELTA_MINK_L
4200020,2400.0,MINK,2388,45,True,,64.17777777777778,1.2699761833092928,0.019788410058489674,2.0,5.0,1584.4,158.6999124833477,0.10016404473829064,210.0,594.0,NEAR_DELTA_MINK_L
4200021,2400.0,MINK,2461,42,True,,66.57142857142857,2.0946968998021687,0.03146540407428151,3.75,7.0,1621.357142857143,182.7050474227286,0.1126864912074629,300.5,596.0,NEAR_DELTA_MINK_L
4200022,2400.0,MINK,2427,47,True,,65.53191489361703,2.220322612458649,0.03388154635894691,2.0,11.0,1581.4255319148936,171.50010789412286,0.10844652778968308,270.0,616.0,NEAR_DELTA_MINK_L
4200023,2400.0,MINK,2345,40,True,,67.725,1.8839785030620702,0.02781806575211621,3.0,8.0,1514.925,185.56931151189843,0.12249405845959267,324.25,632.0,NEAR_DELTA_MINK_L
4200000,4800.0,MINK,4839,62,True,,94.90322580645162,2.5317957252062686,0.026677657199658165,3.0,10.0,3134.1129032258063,353.63782752883384,0.11283506320555643,671.25,1180.0,NEAR_DELTA_MINK_L
