seed,intensity,kind,N,n_min,valid,abstention_reason,mean_L,std_L,cv_L,iqr_L,range_L,mean_V,std_V,cv_V,iqr_V,range_V,flags
4200015,4800.0,MINK,4757,61,True,,93.21311475409836,3.0894572397124747,0.0331440189276224,4.0,11.0,3159.1803278688526,382.9859608006334,0.12122953457962034,619.0,1290.0,NEAR_DELTA_MINK_L
4200015,4800.0,BH,4757,80,True,,58.6375,27.282431961795485,0.46527276848084387,32.5,84.0,2055.0875,1127.1305513753719,0.5484586672710392,1821.25,3275.0,
4200016,4800.0,MINK,4896,75,True,,94.30666666666667,2.3034659874970056,0.02442527202916378,3.0,9.0,3210.76,358.9800306423743,0.11180531420672185,592.5,1393.0,NEAR_DELTA_MINK_L
4200016,4800.0,BH,4896,90,True,,63.05555555555556,27.390736922102015,0.43439054149589096,28.0,90.0,2256.0555555555557,1115.5211374172573,0.49445641295059295,1506.25,3338.0,
4200017,4800.0,MINK,4760,63,True,,95.33333333333333,2.690370836538197,0.02822067311054053,4.5,11.0,3110.0,351.06016307071656,0.11288108137322075,553.0,1226.0,NEAR_DELTA_MINK_L
4200017,4800.0,BH,4760,77,True,,57.33766233766234,33.3667578526933,0.5819343951658854,67.0,90.0,1964.6363636363637,1251.0455877280372,0.6367822620428675,2747.0,3236.0,
4200018,4800.0,MINK,4717,67,True,,92.35820895522389,2.93563536583034,0.031785321511091265,4.0,11.0,3064.089552238806,365.773469221548,0.11937427512661702,646.5,1235.0,NEAR_DELTA_MINK_L
4200018,4800.0,BH,4717,86,True,,59.97674418604651,29.687510781074582,0.4949837004987232,28.25,87.0,2068.8255813953488,1144.5448185506646,0.5532340806510668,1615.0,3183.0,
4200019,4800.0,MINK,4799,68,True,,95.61764705882354,3.6663389808487903,0.03834374818482278,4.0,15.0,3116.970588235294,371.36857269026814,0.11914407344489009,632.75,1248.0,NEAR_DELTA_MINK_L
4200019,4800.0,BH,4799,79,True,,56.54430379746835,31.23483833448037,0.5523958424947278,54.5,87.0,1933.2278481012659,1229.8613068802483,0.6361698690033696,2418.0,3285.0,
4200020,4800.0,MINK,4784,61,True,,91.21311475409836,1.8564442841825661,0.02035282195095912,2.0,8.0,3160.5245901639346,353.21806790378724,0.11175931647646697,568.0,1282.0,NEAR_DELTA_MINK_L
4200020,4800.0,BH,4784,77,True,,56.72727272727273,30.195310706563024,0.5322891310451815,52.0,83.0,2017.077922077922,1240.3933159863989,0.6149456609532415,2379.0,3285.0,
4200021,4800.0,MINK,4886,64,True,,92.3125,1.6092991486979666,0.017433166133491853,3.0,7.0,3224.421875,389.9610879901793,0.12093984692687873,674.5,1238.0,NEAR_DELTA_MINK_L
4200021,4800.0,BH,4886,84,True,,57.595238095238095,30.856858096863608,0.5357536337611706,40.0,86.0,2072.8214285714284,1243.0371806176834,0.5996836792035551,1933.0,3348.0,
4200022,4800.0,MINK,4838,62,True,,92.19354838709677,1.614837549778558,0.01751573269528877,2.0,8.0,3204.3548387096776,321.0079436648597,0.1001786505623461,534.0,1209.0,NEAR_DELTA_MINK_L
4200022,4800.0,BH,4838,79,True,,61.11392405063291,30.30978759150801,0.4959555136141534,34.5,89.0,2127.4556962025317,1187.88899875099,0.558361333150838,1750.0,3287.0,
4200023,4800.0,MINK,4723,67,True,,94.34328358208955,2.37871305231481,0.02521337992486826,3.0,13.0,3122.955223880597,389.56525454323815,0.12474250401168506,713.5,1168.0,NEAR_DELTA_MINK_L
4200023,4800.0,BH,4723,81,True,,57.98765432098765,31.88269154923586,0.5498186109193325,54.0,90.0,2039.1851851851852,1231.1102096979362,0.603726536776568,2477.0,3224.0,
4200000,9600.0,MINK,9655,93,True,,132.58064516129033,2.0284141835177403,0.015299474376897796,3.0,10.0,6264.612903225807,717.8041190895284,0.11458076184083345,1293.0,2373.0,NEAR_DELTA_MINK_L
