PHASE,K,n,seed,R,count
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,13,71
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,14,113
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,15,53
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,16,104
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,17,20
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,18,62
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,19,13
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,20,28
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,21,15
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,22,19
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,23,6
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,24,21
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,25,5
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,26,10
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,27,6
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,28,9
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,30,6
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,31,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,32,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,33,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,34,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,36,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,38,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,39,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,40,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,41,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,43,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,44,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,46,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,48,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,50,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,53,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,26,260828026,60,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,0,0
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,1,49392
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,2,28675
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,3,7385
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,4,7343
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,5,1553
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,6,2488
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,7,537
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,8,1071
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,9,322
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,10,345
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,11,106
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,12,292
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,13,52
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,14,102
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,15,51
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,16,90
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,17,19
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,18,47
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,19,13
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,20,28
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,21,10
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,22,19
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,23,3
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,24,19
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,25,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,26,5
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,27,5
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,28,6
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,30,5
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,31,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,32,4
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,34,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,36,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,37,2
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,38,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,39,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,40,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,49,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,28,260828028,51,1
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,30,260828030,0,0
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,2,30,260828030,1,50516
