PHASE,K,n,seed,N_total,N_empty,N_nonempty,backend_failures,analyzable,P_R_ge_5_given_E,P_R_ge_5_given_E_ci95_low,P_R_ge_5_given_E_ci95_high,U_n_star,U_n_star_ci95_low,U_n_star_ci95_high,Sbar_n_tie,Sbar_n_tie_ci95_low,Sbar_n_tie_ci95_high,H_tie_n,H_tie_n_ci95_low,H_tie_n_ci95_high
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,38,260828038,100000,1,99999,0,YES,0.048160481604816049,0.04685073010672576,0.049504946574606884,0.54106541065410652,0.53797537121253625,0.54415229516364316,0.97421734062602228,0.97016166153939321,0.97777090655003396,1.2770641899201454,1.2648713583310389,1.2867449351817219
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,3,40,260828040,100000,1,99999,0,YES,0.043830438304383046,0.042579028353837374,0.04511689439083736,0.55046550465504651,0.54738045927232637,0.55354667292477333,0.9622237126066141,0.95853050161580455,0.96606034839242516,1.240409271292261,1.2288295375577656,1.2512327769169942
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,20,260828020,100000,62208,37792,0,YES,0.015453005927180356,0.014257764720383974,0.01674674301355385,0.61581816257408972,0.6109027125902432,0.62071006971909226,0.862319720754397,0.85732850542520311,0.8675321975697825,0.90986529474845101,0.89097139981124329,0.92685813254328575
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,22,260828022,100000,47736,52264,0,YES,0.023075156895759986,0.021822568117278295,0.024397849473986096,0.57871575080361248,0.5744769342704531,0.58294299680671691,0.89588376436485617,0.89163300033499471,0.90023391093440475,1.028498363774035,1.0143391364104293,1.0424467079233084
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,24,260828024,100000,33857,66143,0,YES,0.032883298308210997,0.031551151474399942,0.034269700478616598,0.55549340066220154,0.55170337892190602,0.55927697687588507,0.92562112002123664,0.92129789940912421,0.9298827355930579,1.127454699898969,1.1135134764094725,1.1398940362645649
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,26,260828026,100000,22080,77920,0,YES,0.039707392197125255,0.038358854924095548,0.041101312117243258,0.5398742299794661,0.53637283226658472,0.54337169628420312,0.94589798528903735,0.94191669618699514,0.94980236945433949,1.1890172575822038,1.1768615790424295,1.200628868429785
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,28,260828028,100000,13630,86370,0,YES,0.047296514993632049,0.045900873555204419,0.048732424220692558,0.52892207942572655,0.52559190477552042,0.53224968146887375,0.96700426100226156,0.96331002563959212,0.97102090144213438,1.2524391304113167,1.2411644563128736,1.2629821869720648
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,30,260828030,100000,7893,92107,0,YES,0.050245909648560912,0.048853796386487056,0.051675536666673932,0.52621407710597456,0.52298846405097243,0.52943750365836462,0.97441400822134328,0.97039810386471581,0.97815365331953796,1.2785496007923742,1.2667027243878153,1.2894968744036688
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,32,260828032,100000,4234,95766,0,YES,0.051751143412066915,0.050366017207556207,0.053172229361269197,0.52771338470856044,0.52455046426194285,0.53087408191194163,0.98255960642448603,0.97893126664030594,0.98629803373399971,1.2994493657002437,1.2888256016561237,1.3100238846601173
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,34,260828034,100000,2036,97964,0,YES,0.050396063860193539,0.049043720983156236,0.051783665960677738,0.53176677146706952,0.52864089965261962,0.53489015204066648,0.97894005578046572,0.97526630174231554,0.98281749215312808,1.2917564246540791,1.2809548644963713,1.3025369407900043
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,36,260828036,100000,963,99037,0,YES,0.049920736694366752,0.048581763975792079,0.051294623513641092,0.53611276593596335,0.53300555255912629,0.53921717792902368,0.97559556504904354,0.97171290277128319,0.97964833964656584,1.2841651101306641,1.2728086009817567,1.2952833645097197
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,38,260828038,100000,389,99611,0,YES,0.047183543986105955,0.045884192837512834,0.04851781916295906,0.54233970143859611,0.53924426006111037,0.54543187731433174,0.97109798576058037,0.96714957562711734,0.97492906072424779,1.2671733307350288,1.2550429418214597,1.2783158355895865
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,4,40,260828040,100000,151,99849,0,YES,0.043315406263457819,0.042070230915365138,0.044595720021940309,0.55103205840819636,0.54794503195358912,0.55411515833356229,0.96063648408968283,0.95699290563568107,0.96413107507806484,1.2351539574608685,1.2240493255507194,1.2448250882718788
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,20,260828020,100000,91452,8548,0,YES,0.0028076743097800653,0.0018875358592242394,0.0041744870478097615,0.74953205428170333,0.7402361783163135,0.75860375230469745,0.78227640995243675,0.77310652116392342,0.79172712688657221,0.58579707681096915,0.54053384147762418,0.62837056383706491
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,22,260828022,100000,83905,16095,0,YES,0.0072072072072072073,0.0060128526636663224,0.0086367393224374076,0.70692761727244491,0.69984692815093674,0.71390955345913487,0.81825219335880806,0.81051282560632831,0.82551151852144156,0.73727103306786379,0.70474603427853411,0.76551196385814257
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,24,260828024,100000,74047,25953,0,YES,0.011174045389742997,0.0099655891150000828,0.012527188357441283,0.6635071090047393,0.65773464628493972,0.66923117555683642,0.83715043446344328,0.8312373168959114,0.84305551202109619,0.82224257275250112,0.79816985818840513,0.84387911611915423
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,26,260828026,100000,61584,38416,0,YES,0.015201999167013744,0.0140260399041239,0.016474904772514128,0.63720845481049559,0.63238699091248063,0.64200248076972732,0.86345015079390985,0.85836921336310057,0.86901467310105307,0.92035941517412589,0.9021707934789982,0.93924479746135769
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,28,260828028,100000,49055,50945,0,YES,0.020276769064677593,0.019088544256196702,0.021537334557821856,0.60855824909215817,0.60431201087637987,0.61278811708119163,0.88396203115697058,0.87930602638793809,0.88883563580515701,0.98731254890383802,0.97069186830329268,1.003092514413281
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,30,260828030,100000,36823,63177,0,YES,0.025309843772258891,0.02411365496823361,0.026563755855861772,0.5912278202510407,0.58738896353410386,0.59505558348119569,0.89963025020366005,0.8955030400119024,0.90399330784717735,1.0420735270640773,1.0278995682262149,1.0553257472800948
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,32,260828032,100000,26218,73782,0,YES,0.031091594155756148,0.029863422394861627,0.032368590794055727,0.57568241576536283,0.57211233189497424,0.57924461923816117,0.92153393345312462,0.91726332935497001,0.9251467285853987,1.11162024007413,1.0984540220006227,1.122356888174491
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,34,260828034,100000,17410,82590,0,YES,0.033793437462162491,0.032582604589234704,0.035047637086903588,0.56664245065988617,0.56325985322920313,0.57001884897873711,0.9322924262733312,0.92836353823863849,0.93617061201522633,1.1480483802444479,1.1348081774357284,1.1591580739342928
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,36,260828036,100000,11020,88980,0,YES,0.037514048100696785,0.0362853594868515,0.038782668025895785,0.56100247246572266,0.5577391747182997,0.56426050322349675,0.93999589402329142,0.93578874202974682,0.94385175040781477,1.1743123303721441,1.1619124720103102,1.1858797895454898
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,38,260828038,100000,6604,93396,0,YES,0.038288577669279199,0.037076778146679097,0.039538356815575125,0.55809670649706622,0.55490943395374603,0.56127920010067645,0.94532953525933894,0.9414623726901411,0.94878943386227133,1.186568871879599,1.1750229221265598,1.1968878947089359
POST_HOC_EXPLORATORY_K_ROBUSTNESS_OF_COMPETITION_PEAK,5,40,260828040,100000,3725,96275,0,YES,0.037829135289535187,0.036642337602432268,0.039052813568843187,0.56054011944949367,0.55740264464339873,0.56367276323825732,0.94383506239383053,0.94007556147111149,0.94711430524607976,1.1820649251622573,1.1696772343860948,1.1914986281931692
