PHASE,method,n,r,count,p_given_E,p_given_E_ci95_low,p_given_E_ci95_high,q_given_tie,q_given_tie_ci95_low,q_given_tie_ci95_high
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,8,1028,0.010411602657591962,0.0097972407466113357,0.011064059295882131,0.020350793839331669,0.019155461658586913,0.021619072631437357
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,9,307,0.0031093015718684168,0.002780833523454609,0.0034764325374633032,0.0060775230629132515,0.0054362984848143146,0.0067938649778174712
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,10,354,0.0035853184248906176,0.0032313229580521532,0.0039779397701806708,0.0070079581898087658,0.0063170455539042006,0.0077738466589182195
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,11,95,0.00096216172419380974,0.00078722218495544177,0.0011759312489249985,0.0018806667458526349,0.0015388410687445298,0.0022982480313252507
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,12,282,0.0028561011181332035,0.0025420164002021668,0.0032088684546971759,0.0055826107613730844,0.0049693964886852017,0.0062710176387388008
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,13,51,0.00051652892561983473,0.00039291330408029214,0.00067900920720746554,0.0010096210951419408,0.00076803791223905736,0.0013270923578650234
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,14,94,0.00095203370604440125,0.00077810891433960263,0.0011647892713000951,0.0018608702537910283,0.0015210259571778392,0.0022764731694836296
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,15,41,0.00041524874412574947,0.00030613054853792694,0.00056323948034240278,0.00081165617452587401,0.00059839732850372994,0.0011008332075172372
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,16,88,0.00089126559714795004,0.00072354516364290839,0.0010978215325523324,0.0017420913014213881,0.0014143620768516222,0.002145597209359979
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,17,18,0.00018230432668935343,0.00011532425457840562,0.00028817506476483986,0.00035633685710892031,0.00022542142317734834,0.00056323972445245765
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,18,49,0.00049627288932101762,0.00037543666953074068,0.00065597534527553141,0.00097002811101872747,0.00073387492078771162,0.0012820754024997463
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,19,7,7.0896127045859666e-05,3.4343140195135143e-05,0.00014634844849993969,0.00013857544443124679,6.7128774323013354e-05,0.00028604266581536782
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,20,18,0.00018230432668935343,0.00011532425457840562,0.00028817506476483986,0.00035633685710892031,0.00022542142317734834,0.00056323972445245765
POST_HOC_EXPLORATORY_ORBITAL_MULTIPLICITY,MONTE_CARLO_REPRODUCTION,26,21,4,4.0512072597634096e-05,1.575446308175507e-05,0.00010417138089109137,7.9185968246426729e-05,3.0794293878896414e-05,0.00020360722603455074
