seed,intensity,K,start_id,depth_k,lineage_id,survivor_rank_at_depth,path_p,path_q,p_last,q_last,r_p_last,r_q_last,d_p_over_ell,d_q_over_ell,d_mid_over_ell,straddles_horizon,regscore,is_top1,is_minbeam_at_k
1000004,3600.0,8,27,2,1,1,"[731,134]","[134,1965]",134,1965,0.38545936399616065,0.2951898711195273,2.5612064829064463,4.579693706572298,3.570450094739372,0,0.0,0,0
1000004,3600.0,8,27,2,2,2,"[731,134]","[134,2718]",134,2718,0.38545936399616065,0.18122355268501333,2.5612064829064463,7.128058058221905,4.844632270564175,0,0.0,0,0
1000004,3600.0,8,27,2,3,3,"[731,134]","[134,3264]",134,3264,0.38545936399616065,0.22107184080844583,2.5612064829064463,6.237023247911979,4.399114865409212,0,0.0,0,0
1000004,3600.0,8,27,2,4,4,"[731,134]","[134,3453]",134,3453,0.38545936399616065,0.3152940793172795,2.5612064829064463,4.130149944932475,3.3456782139194603,0,0.0,0,0
1000004,3600.0,8,27,3,0,0,"[731,134,1219]","[134,1219,239]",1219,239,0.37647930143273495,0.12360835467883453,2.7620067862466553,8.416373051011167,5.589189918628911,0,0.0,1,0
1000004,3600.0,8,27,3,5,1,"[731,134,1219]","[134,1219,1589]",1219,1589,0.37647930143273495,0.36450914973380394,2.7620067862466553,3.029667515244599,2.895837150745627,0,0.0,0,1
1000004,3600.0,8,27,3,6,2,"[731,134,1965]","[134,1219,239]",1965,239,0.2951898711195273,0.12360835467883453,4.579693706572298,8.416373051011167,6.498033378791733,0,0.0,0,0
1000004,3600.0,8,27,3,1,3,"[731,134,1965]","[134,1965,456]",1965,456,0.2951898711195273,0.24648229795452822,4.579693706572298,5.668828152732123,5.124260929652211,0,0.0,0,0
1000004,3600.0,8,27,3,7,4,"[731,134,1965]","[134,1965,2063]",1965,2063,0.2951898711195273,0.10929871664685173,4.579693706572298,8.736346284740465,6.658019995656381,0,0.0,0,0
1000004,3600.0,8,27,3,8,5,"[731,134,1965]","[134,1965,2493]",1965,2493,0.2951898711195273,0.10421557339880672,4.579693706572298,8.850008823160442,6.71485126486637,0,0.0,0,0
1000004,3600.0,8,27,3,3,6,"[731,134,3264]","[134,3264,1359]",3264,1359,0.22107184080844583,0.20384850402765448,6.237023247911979,6.622148766324198,6.429586007118089,0,0.0,0,0
1000004,3600.0,8,27,3,9,7,"[731,134,3264]","[134,3264,1587]",3264,1587,0.22107184080844583,0.10255496892996432,6.237023247911979,8.887141067921158,7.562082157916568,0,0.0,0,0
1000004,3600.0,8,27,4,5,0,"[731,134,1219,1589]","[134,1219,1589,783]",1589,783,0.36450914973380394,0.3206059420103783,3.029667515244599,4.011373084243334,3.520520299743967,0,-1.0,1,0
1000004,3600.0,8,27,4,10,1,"[731,134,1219,1589]","[134,1219,1589,1478]",1589,1478,0.36450914973380394,0.3226062291183741,3.029667515244599,3.9666453047633827,3.4981564100039915,0,-1.0,0,0
1000004,3600.0,8,27,4,11,2,"[731,134,1219,1589]","[134,1219,1589,2989]",1589,2989,0.36450914973380394,0.3235939542090853,3.029667515244599,3.9445591003042586,3.487113307774428,0,-1.0,0,0
1000004,3600.0,8,27,4,12,3,"[731,134,1219,1589]","[134,1219,1589,3331]",1589,3331,0.36450914973380394,0.3326744597507749,3.029667515244599,3.7415128236914437,3.3855901694680206,0,-1.0,0,1
1000004,3600.0,8,27,5,5,0,"[731,134,1219,1589,783]","[134,1219,1589,783,1164]",783,1164,0.3206059420103783,0.31899230480378105,4.011373084243334,4.047455109093077,4.029414096668206,0,-2.0,1,1
1000004,3600.0,8,27,5,10,1,"[731,134,1219,1589,1478]","[134,1219,1589,1478,2346]",1478,2346,0.3226062291183741,0.30904979682667455,3.9666453047633827,4.269776346129517,4.11821082544645,0,-2.0,0,0
1000004,3600.0,8,27,5,12,2,"[731,134,1219,1589,3331]","[134,1219,1589,3331,1095]",3331,1095,0.3326744597507749,0.25544535976271543,3.7415128236914437,5.468407997835736,4.6049604107635895,0,-2.0,0,0
1000004,3600.0,8,27,5,13,3,"[731,134,1219,1589,3331]","[134,1219,1589,3331,1906]",3331,1906,0.3326744597507749,0.299233119796423,3.7415128236914437,4.48928391765755,4.115398370674497,0,-2.0,0,0
1000004,3600.0,8,27,5,14,4,"[731,134,1219,1589,3331]","[134,1219,1589,3331,2890]",3331,2890,0.3326744597507749,0.29891680447737357,3.7415128236914437,4.4963569432147406,4.118934883453092,0,-2.0,0,0
1000004,3600.0,8,27,5,15,5,"[731,134,1219,1589,3331]","[134,1219,1589,3331,3204]",3331,3204,0.3326744597507749,0.27661536295996403,3.7415128236914437,4.995032335506378,4.368272579598911,0,-2.0,0,0
1000004,3600.0,8,27,5,16,6,"[731,134,1219,1589,3331]","[134,1219,1589,3331,3303]",3331,3303,0.3326744597507749,0.22427744555815463,3.7415128236914437,6.165343746618528,4.953428285154986,0,-3.0,0,0
1000004,3600.0,8,27,6,15,0,"[731,134,1219,1589,3331,3204]","[134,1219,1589,3331,3204,2385]",3204,2385,0.27661536295996403,0.25637408720568067,4.995032335506378,5.447641020885338,5.221336678195858,0,-3.0,1,1
1000004,3600.0,8,27,6,5,1,"[731,134,1219,1589,783,1164]","[134,1219,1589,783,1164,2063]",1164,2063,0.31899230480378105,0.10929871664685173,4.047455109093077,8.736346284740465,6.391900696916771,0,-4.0,0,0
1000004,3600.0,8,27,6,17,2,"[731,134,1219,1589,783,1164]","[134,1219,1589,783,1164,2493]",1164,2493,0.31899230480378105,0.10421557339880672,4.047455109093077,8.850008823160442,6.4487319661267595,0,-4.0,0,0
1000004,3600.0,8,28,1,0,0,[731],[398],731,398,0.393896243250998,0.3763660030227986,2.372552127588706,2.7645402157102583,2.568546171649482,0,0.0,1,1
1000004,3600.0,8,28,2,0,0,"[731,398]","[398,382]",398,382,0.3763660030227986,0.35087545090987626,2.7645402157102583,3.3345262887952107,3.0495332522527354,0,0.0,1,1
1000004,3600.0,8,28,2,1,1,"[731,398]","[398,1478]",398,1478,0.3763660030227986,0.3226062291183741,2.7645402157102583,3.9666453047633827,3.3655927602368214,0,0.0,0,0
1000004,3600.0,8,28,2,2,2,"[731,398]","[398,2063]",398,2063,0.3763660030227986,0.10929871664685173,2.7645402157102583,8.736346284740465,5.750443250225362,0,0.0,0,0
1000004,3600.0,8,28,2,3,3,"[731,398]","[398,3331]",398,3331,0.3763660030227986,0.3326744597507749,2.7645402157102583,3.7415128236914437,3.2530265197008505,0,0.0,0,0
1000004,3600.0,8,28,2,4,4,"[731,2039]","[398,1478]",2039,1478,0.36674696357758474,0.3226062291183741,2.979628476487759,3.9666453047633827,3.473136890625571,0,0.0,0,0
1000004,3600.0,8,28,3,0,0,"[731,398,382]","[398,382,1825]",382,1825,0.35087545090987626,0.15971455349041166,3.3345262887952107,7.609013901493081,5.471770095144146,0,0.0,1,0
1000004,3600.0,8,28,3,5,1,"[731,398,382]","[398,382,2160]",382,2160,0.35087545090987626,0.2124957682256769,3.3345262887952107,6.428790060662414,4.8816581747288135,0,0.0,0,0
1000004,3600.0,8,28,3,6,2,"[731,398,382]","[398,382,2890]",382,2890,0.35087545090987626,0.29891680447737357,3.3345262887952107,4.4963569432147406,3.915441616004976,0,0.0,0,0
1000004,3600.0,8,28,3,7,3,"[731,398,382]","[398,382,3204]",382,3204,0.35087545090987626,0.27661536295996403,3.3345262887952107,4.995032335506378,4.164779312150794,0,0.0,0,0
1000004,3600.0,8,28,3,8,4,"[731,398,382]","[398,382,3264]",382,3264,0.35087545090987626,0.22107184080844583,3.3345262887952107,6.237023247911979,4.785774768353594,0,0.0,0,0
1000004,3600.0,8,28,3,9,5,"[731,398,382]","[398,382,3453]",382,3453,0.35087545090987626,0.3152940793172795,3.3345262887952107,4.130149944932475,3.7323381168638425,0,0.0,0,1
1000004,3600.0,8,28,3,10,6,"[731,398,3331]","[398,382,2890]",3331,2890,0.3326744597507749,0.29891680447737357,3.7415128236914437,4.4963569432147406,4.118934883453092,0,0.0,0,0
1000004,3600.0,8,28,3,11,7,"[731,398,3331]","[398,382,3204]",3331,3204,0.3326744597507749,0.27661536295996403,3.7415128236914437,4.995032335506378,4.368272579598911,0,0.0,0,0
1000004,3600.0,8,28,4,5,0,"[731,398,382,2160]","[398,382,2160,1856]",2160,1856,0.2124957682256769,0.169160750691923,6.428790060662414,7.397790510778605,6.913290285720509,0,-1.0,1,0
1000004,3600.0,8,28,4,12,1,"[731,398,382,2160]","[398,382,2160,1977]",2160,1977,0.2124957682256769,0.19886765343058782,6.428790060662414,6.733523971532312,6.581157016097364,0,-1.0,0,0
1000004,3600.0,8,28,4,13,2,"[731,398,382,2160]","[398,382,2160,2718]",2160,2718,0.2124957682256769,0.18122355268501333,6.428790060662414,7.128058058221905,6.77842405944216,0,-1.0,0,0
1000004,3600.0,8,28,4,8,3,"[731,398,382,3264]","[398,382,3264,1359]",3264,1359,0.22107184080844583,0.20384850402765448,6.237023247911979,6.622148766324198,6.429586007118089,0,-2.0,0,0
