seed,intensity,K,start_id,depth_k,survivor_rank,p_last,q_last,r_p_last,r_q_last,d_mid_over_ell,straddles_horizon,regscore,path_p,path_q
1000000,3600.0,64,1,10,0,3246,631,0.3640388414196869,0.34337043437932546,3.271263744496506,0,-13.0,"[499,107,2766,1191,112,3566,1913,216,1687,3246]","[107,2766,1191,112,3566,1913,216,1687,3246,631]"
1000000,3600.0,64,1,10,1,3246,2037,0.3640388414196869,0.3229474998796069,3.4995990937034875,0,-13.0,"[499,107,2766,1191,112,3566,1913,216,1687,3246]","[107,2766,1191,112,3566,1913,216,1687,3246,2037]"
1000000,3600.0,64,1,10,2,64,330,0.5913220193881507,0.5831642503740945,1.950815801643731,0,-15.0,"[499,107,620,1137,683,2729,2163,418,316,64]","[107,620,1137,683,2729,2163,418,316,64,330]"
1000000,3600.0,64,1,10,3,64,1805,0.5913220193881507,0.4845946066386419,0.848773682091689,1,-15.0,"[499,107,620,1137,683,2729,2163,418,316,64]","[107,620,1137,683,2729,2163,418,316,64,1805]"
1000000,3600.0,64,1,10,4,3,1824,0.9697121151509805,1.1113864279899706,12.08704916419578,0,-15.0,"[499,107,620,1137,683,2939,796,1051,3080,3]","[107,620,1137,683,2939,796,1051,3080,3,1824]"
1000000,3600.0,64,1,10,5,3,3036,0.9697121151509805,1.0343588826347694,11.22585502642489,0,-15.0,"[499,107,620,1137,683,2939,796,1051,3080,3]","[107,620,1137,683,2939,796,1051,3080,3,3036]"
1000000,3600.0,64,1,10,6,1049,1421,0.8417523438813037,0.8422519196160632,7.647400150398952,0,-16.0,"[499,107,620,1137,683,2729,1048,24,2340,1049]","[107,620,1137,683,2729,1048,24,2340,1049,1421]"
1000000,3600.0,64,1,11,0,631,2965,0.34337043437932546,0.32884043450823347,3.6647938972650467,0,-15.0,"[499,107,2766,1191,112,3566,1913,216,1687,3246,631]","[107,2766,1191,112,3566,1913,216,1687,3246,631,2965]"
1000000,3600.0,64,1,11,1,2037,263,0.3229474998796069,0.29234214904689104,4.301192483240799,0,-15.0,"[499,107,2766,1191,112,3566,1913,216,1687,3246,2037]","[107,2766,1191,112,3566,1913,216,1687,3246,2037,263]"
1000000,3600.0,64,1,11,2,631,2396,0.34337043437932546,0.31511237620827287,3.818278255054007,0,-16.0,"[499,107,2766,1191,112,3566,1913,216,1687,3246,631]","[107,2766,1191,112,3566,1913,216,1687,3246,631,2396]"
